trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
171,False,"{'a': 0.5, 'e': 0.42437208406280996}",20,2,25.60372401136224,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.5, 'e': 0.4222502236424959}",20,9,-2.9510184356506253,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.42013897252428345}",25,5,-45.2926459504226,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",1
174,False,"{'a': 0.5, 'e': 0.418038277661662}",25,8,4.470507186649135,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.4159480862733537}",25,0,-52.148389113641905,"{0: 19, 1: 0, 2: 4, 3: 2, 4: 0}",0
176,False,"{'a': 0.5, 'e': 0.41386834584198695}",35,0,13.495406967320765,"{0: 33, 1: 0, 2: 1, 3: 1, 4: 0}",0
177,False,"{'a': 0.5, 'e': 0.41179900411277703}",25,17,-37.76481131208308,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
178,False,"{'a': 0.5, 'e': 0.40974000909221314}",20,10,18.576488714243837,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.5, 'e': 0.40769130904675205}",25,17,-8.595229032340733,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
180,False,"{'a': 0.5, 'e': 0.4056528525015183}",30,14,-0.021803416580529866,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
181,False,"{'a': 0.5, 'e': 0.4036245882390107}",25,13,-45.85891677213744,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
